n_samples, rrmsd, correlation, time
100, 0.03629194569181557, 0.7456028948244011, 2.876704216003418
500, 0.02845022012388636, 0.8171785216098295, 11.51161503791809
100, 0.031060635286262243, 0.7861174158683327, 3.4633734226226807
100, 0.02598595751478167, 0.8463042578409317, 3.4900503158569336
100, 0.028966892112748898, 0.8096438558026463, 3.3823559284210205
100, 0.02228029196763568, 0.8843406245369695, 3.351778268814087
100, 0.027263645849239907, 0.7993324554161882, 3.393472194671631
100, 0.019993975068189614, 0.8840956643885008, 3.338207483291626
100, 0.019414271890252348, 0.9389904552306262, 3.3942863941192627
100, 0.016995056601739104, 0.9322795432591569, 3.3529350757598877
100, 0.020528279488339574, 0.9211702135781499, 3.845149517059326
100, 0.03079194285899089, 0.803076933474591, 3.481335401535034
100, 0.02110479280588892, 0.8952342564373218, 3.377840518951416
100, 0.03648582254928361, 0.7463138228981265, 3.261573553085327
100, 0.02118312436605033, 0.8978215102501845, 3.9437808990478516
100, 0.031510996737580926, 0.8103058834940929, 3.7075891494750977
100, 0.04512975822735494, 0.6310124943540503, 3.6109817028045654
100, 0.03332844102171058, 0.7759385304927797, 4.041207790374756
100, 0.023375807941547665, 0.860504176880413, 3.609825849533081
100, 0.045183602645810644, 0.5578802435018498, 3.561204433441162
100, 0.030411473185710806, 0.7800786802858127, 4.096549987792969
100, 0.0219061556544459, 0.8839995180463365, 3.9250288009643555
100, 0.019277661281187183, 0.9366017131665845, 3.790692090988159
500, 0.03277160619973978, 0.7515666894739377, 13.735109329223633
500, 0.03370115189589849, 0.759707973691404, 14.053868770599365
500, 0.031528725600533866, 0.7633433148804052, 14.053608894348145
500, 0.030675549917008063, 0.765135550566243, 14.244630336761475
500, 0.028211953695764076, 0.8262417129844725, 13.895131349563599
500, 0.026923902047691062, 0.8409611871137863, 14.639707326889038
500, 0.026276516511202583, 0.8301106921279267, 14.266656398773193
500, 0.024278679856312078, 0.8568044337854908, 14.288743495941162
500, 0.025317691491973354, 0.8500756375166932, 14.71127200126648
500, 0.031116246709612876, 0.7928240032925816, 14.996259689331055
500, 0.028573276908172792, 0.7961206021006187, 15.078294515609741
500, 0.024234242844533665, 0.8410253888299539, 15.274117708206177
500, 0.030348848130759328, 0.8203025803601158, 14.504252910614014
500, 0.027729176403490693, 0.8302376791744253, 15.052847862243652
500, 0.0308638117906161, 0.7768658361110043, 14.130513906478882
500, 0.03338592697551933, 0.7030406622122564, 15.536778688430786
500, 0.025028500705677786, 0.8640423641556879, 14.122665166854858
500, 0.03302168607844195, 0.7395122241128764, 14.878565788269043
500, 0.024323399942586265, 0.8625535707950117, 14.751097440719604
500, 0.024182148561499896, 0.8691732150711099, 14.688199281692505
500, 0.02995982302323046, 0.8076877327225226, 14.53458857536316
1000, 0.027046597503076038, 0.8314532964987692, 26.90151309967041
1000, 0.02962633177822717, 0.8045426579081563, 27.303126335144043
1000, 0.03236189092245889, 0.7736563520249499, 27.707050323486328
1000, 0.028717498852510275, 0.8029236756851722, 27.34978485107422
1000, 0.0291716076908115, 0.8030592903135059, 28.218924522399902
1000, 0.02579380891062452, 0.8455318806234717, 28.207979440689087
1000, 0.03404841532258325, 0.7660463767962966, 27.218376636505127
1000, 0.03224352414738794, 0.7914196449218046, 28.831115245819092
1000, 0.02998311817468061, 0.8059584493744746, 29.844465494155884
1000, 0.030892264126731735, 0.7904271304410755, 30.102853536605835
1000, 0.02876562122071604, 0.814548776367185, 28.72569179534912
1000, 0.029316383757679535, 0.7994086128565883, 29.363983631134033
1000, 0.02582166931848961, 0.840939813419077, 30.472670316696167
1000, 0.024805835198689126, 0.8576532421000526, 31.05228304862976
1000, 0.024542528797209848, 0.8561245261187007, 29.618656396865845
1000, 0.0277386683414687, 0.8046138899992074, 28.711066246032715
1000, 0.028573159685613726, 0.8241049129646433, 30.362308502197266
1000, 0.028189642575374235, 0.8162402572816306, 29.45513653755188
1000, 0.02983087497102977, 0.7848203236917487, 30.71466040611267
1000, 0.027483915256831203, 0.8308135758781885, 30.71974754333496
1000, 0.029559128118553546, 0.7931242548103006, 31.439725399017334
2500, 0.029435987864278448, 0.8043181289365692, 69.1579647064209
2500, 0.02829864825657869, 0.8089318404237456, 70.78032851219177
2500, 0.027487726213550424, 0.8181107312037132, 71.54074168205261
2500, 0.029852045867016768, 0.8096348328998557, 70.53275561332703
2500, 0.030663438334607905, 0.7852658920234284, 72.27617192268372
2500, 0.028037455894025686, 0.8146539091963433, 69.41731357574463
2500, 0.026717826353419582, 0.8325521383604392, 73.10589838027954
2500, 0.029907860739242006, 0.7977872059366337, 70.94115352630615
2500, 0.029882551020774382, 0.8047496063241113, 71.0091643333435
2500, 0.02997240615740667, 0.7943331410086348, 71.96582674980164
2500, 0.027785239134828273, 0.8203965055393834, 71.46754121780396
2500, 0.026073073446804197, 0.8366303640690128, 75.2122483253479
2500, 0.02786904354449428, 0.8123514058282626, 72.39987468719482
2500, 0.03082829687528979, 0.7906049359421643, 72.41272783279419
2500, 0.02954312693255055, 0.8022427164467721, 71.66406750679016
2500, 0.030287388222795263, 0.7796933942221259, 72.72375917434692
2500, 0.029093707697316628, 0.7931337778855112, 73.45414543151855
2500, 0.027392045918661373, 0.825077282692118, 74.85201978683472
2500, 0.029098026417095555, 0.8024354658047932, 76.00224471092224
2500, 0.029341015866755416, 0.8010524391998615, 74.04178881645203
2500, 0.028409006565025464, 0.8177992939850449, 76.16606855392456
5000, 0.028520264430494154, 0.8178772292115319, 139.36267590522766
5000, 0.028468337909678083, 0.8087540734893162, 141.0470278263092
